Branch,Avg Cycling White,Avg Cycling Black or African American,Avg Cycling: High School or More,Avg Cycling: Bachelors or More,Avg Cycling: Masters or More,Avg Cycling At or Above Poverty,Avg Cycling In Poverty,"Avg Cycling Income: $150,000 to $199,999",Avg Cycling Employed,Avg Cycling Unemployed,Avg Cycling Has Internet Access,Avg Cycling Has No Internet Access
Vodak-East Side,9.006959817402908,6.0578080432168,6.188369481384094,6.361255626187605,7.083684893214658,6.160645186111858,5.942240010315282,5.5768530802507685,6.081594642957208,6.326335053705258,6.238206011497944,5.6066390000446855
Walker,6.010267193305087,5.427837734928055,5.746366042325528,5.561192658327768,5.516762815018841,5.807556783472008,5.902835116171519,5.674159515396209,5.82284776414788,5.7552010962636535,5.805590944584497,5.894709073841477
Water Works,4.787938079100043,4.902895983038027,4.930875117542024,4.973120616365094,5.042618908209055,4.963886312950343,4.722598075039907,4.9060266744920655,4.921310650167135,5.572534326276484,4.999799207878213,4.533926772178003
West Belmont,4.567502330653751,4.579359197361256,4.587106237546858,4.497218213365202,4.386703772469039,4.65991820726851,4.682272918828722,4.553589540934339,4.657083752555502,4.751920448552784,4.5656406980594415,5.208249760061463
West Chicago Avenue,4.688388643102988,4.986677174922384,4.902158212149908,4.986700091572566,5.204298461250175,4.867255965465172,4.886991117341986,4.97227756131892,4.792641488706825,5.386943190265209,4.930356236625503,4.595231657704779
West Englewood,6.048808871046996,5.616105466535889,5.809125311657155,6.017814868010219,6.423902527794101,5.929929914926092,5.450631771113913,5.326971031522776,5.86141155469271,5.564874184041355,5.826248655338958,5.701188836852058
West Lawn,5.687829738740703,7.165462036648554,5.683003261143569,5.554180621913039,5.456615669659191,5.700428579362705,5.4204733759852495,5.290474215486112,5.70282347383756,5.35689599803674,5.70911983937308,5.459585567618365
West Loop,4.707555374336654,4.536232880736377,4.751855660593509,4.762855012351264,4.834081859432952,4.755542638926796,4.695114777396023,4.609066561223281,4.762495418635947,4.399588586287058,4.366288212391885,4.170893929654843
West Pullman,7.437676934328906,6.482035668218494,6.567557873577722,6.794794788864912,6.89246283452317,6.604100978892169,6.415424901117475,6.981666890618976,6.618762733182408,6.333040554057202,6.62330649269676,6.303545804592884
West Town,4.242941922575919,4.302775801594983,4.2213597957313045,4.177898404392967,4.170627457860416,4.207674379873927,4.350515734354303,4.175141626679185,4.216626979173987,4.266950295902153,4.134661327183473,3.916419820460231
"Whitney M. Young, Jr.",6.18370758566087,5.416990696207309,5.389968428040579,5.546729089425962,5.260290287359903,5.3849996105340505,5.421595091884571,5.425807473605697,5.384008516015856,5.447231025781176,5.4344588601595865,5.253824868460687
Woodson Regional Library,6.259168131514949,6.357056545113984,6.37118039071401,6.355325464551379,6.222492188469623,6.364851178184518,6.321102717431602,5.499173575813721,6.334134946098543,6.488077358851353,6.357039618249791,6.361303525588076
Wrightwood-Ashburn,6.39238912763477,6.916221694086318,6.780905445197746,6.157236905953042,6.12096400550181,6.847170986427756,7.428338557169479,6.926016906256596,6.8623602847011975,7.341129477006397,6.813847216688964,7.663348525195738
